pcre 8.39-1
perl 5.24.0-2
perl-error 0.17024-1
pinentry 0.9.7-3
pixman 0.34.0-1
pkg-config 0.29.1-2
popt 1.16-8
procps-ng 3.3.12-1
psmisc 22.21-3
pygobject-devel 3.22.0-1
python 3.5.2-1
python-appdirs 1.4.0-4
python-dateutil 2.5.3-1
python-gbulb 0.4-1
python-gobject 3.22.0-1
python-gpxdata 1.3.0-1
python-kdtree 0.15-1
python-packaging 16.8-1
python-pyparsing 2.1.10-1
python-pyserial 3.2.1-1
python-pyserial-asyncio 0.2-1
python-setuptools 1:28.8.0-1
python-six 1.10.0-2
python2 2.7.12-1
python2-appdirs 1.4.0-4
python2-dateutil 2.5.3-1
python2-packaging 16.8-1
python2-pyparsing 2.1.10-1
python2-setuptools 1:28.8.0-1
python2-six 1.10.0-2
raspberrypi-firmware 20161107-1
raspberrypi-firmware-bootloader 20161107-1
raspberrypi-firmware-bootloader-x 20161107-1
raspberrypi-firmware-examples 20161107-1
raspberrypi-firmware-tools 20161107-1
readline 6.3.008-4
recordproto 1.14.2-2
reiserfsprogs 3.6.25-1
renderproto 0.11.1-3
rsync 3.1.2-1
rtmpdump 1:2.4.r96.fa8646d-2
s-nail 14.8.14-1
sbc 1.3-1
schroedinger 1.0.11-3
sdl 1.2.15-7
sdl2 2.0.5-2
sed 4.2.2-4
shadow 4.4-3
speex 1.2rc2-1
speexdsp 1.2rc3-2.1
sqlite 3.15.1-1
sudo 1.8.18.p1-1
sysfsutils 2.1.0-9
systemd 231-4
systemd-sysvcompat 231-4
taglib 1.11.1-1
tar 1.29-2
texinfo 6.3-1
thin-provisioning-tools 0.6.3-1
tzdata 2016i-1
unzip 6.0-12
usbutils 008-1
util-linux 2.28.2-1
v4l-utils 1.10.1-1
vi 1:070224-2
vid.stab 1.1-1
videoproto 2.3.3-1
vim 8.0.0055-1
vim-runtime 8.0.0055-1
wavpack 4.80.0-1
wayland 1.12.0-1
wget 1.18-1
which 2.21-2
wireless-regdb 2016.06.10-1
wireless_tools 30.pre9-1
wpa_supplicant 1:2.6-1
x265 2.1-2
xcb-proto 1.12-2
xextproto 7.3.0-1
xf86vidmodeproto 2.3.1-3
xfsprogs 4.8.0-1
xproto 7.0.31-1
xvidcore 1.3.4-1
xz 5.2.2-1
yajl 2.1.0-1
yaourt 1.8.1-1
zita-alsa-pcmi 0.2.0-3
zita-resampler 1.3.0-5
zlib 1.2.8-4
